en,zh
"(e) Advise the Executive Secretary on the provisional agenda for sessions of the Commission and committees subsidiary to the Commission, bearing in mind the need to ensure a results-oriented and focused agenda that is aligned with the development priorities of member States, as well as chapter II of its rules of procedure;",(e) 就经社会会议和经社会附属委员会会议的临时议程向执行秘书提供咨询意见，同时铭记需要确保议程内容侧重实际成果、重点突出、而且与各成员国的发展优先重点、以及与其议事规则第二章的内容保持一致；
They all said it -- every one of them.,他们全都这么说，夫人。
Letter dated 12 May 2000 from the Under-Secretary-General for Communications and Public Information addressed to the Chairman of the Committee on Information,主管传播和新闻副秘书长在新闻委员会第二十二届会议
Sudan country office,苏丹国家办事处
A new generation of internet porn companies have put ever more free pictures and video on their sites in the hope that the massive traffic they garner will yield a few paying subscribers.,新一代网络色情公司将更多的免费图片和视频放到它们的网站上，希望由此所引来的巨大访问量会给它们带来一些付费订户。
"(ii) Action Plan against Illicit Manufacture, Trafficking and Abuse of Amphetamine-type Stimulants and Their Precursors;",《打击苯丙胺类兴奋剂及其前体的非法制造、贩运和滥用行动计划》；
"The Strategy also clearly affirms that terrorism cannot and should not be associated with any religion, nationality, civilization or ethnic group.",这项战略在一个共同战略框架下汇总了一系列新的建议和加强正在进行的各种活动的做法，供会员国、联合国系统以及其他国际和区域行动方采用。
"Information in the technical papers should, as far as possible, include references to the relevant subsection of the relevant assessment report and other related material.",技术文件中的资料应尽可能参照相关评估报告和其他有关材料的关联内容。
Do not put off till tomorrow what can be done today.,今天可做的事不要拖到明天再做.
Our problem today is the refusal of the biggest polluters to assume their responsibilities in reversing the negative trends of climate change occasioned by human activity.,我们如今的问题是，最大的污染者拒绝承担责任来扭转人类活动引起的气候变化的负面趋势。
Did you fill in the form without pressure from others and with your own free will and judgement?,你在填写申请表格的时候真的没有任何旁人的左右，完全是出自你自己的意愿和判断吗？
"The Public Gatherings Act No. 7 of 2004, as amended in 2007, regulates public marches and rallies in a manner designed to protect lives and public and private property and to ensure that the organizers of such events are able to control them.",经2007年修订的2004年第7号《公共集会法》，管理公共游行和集会，旨在保护生命以及公共和私人财产，并确保这类活动的组织者有能力加以控制。
"It was generally agreed that the National Transitional Government of Liberia should be encouraged to take steps to address the grievances of the population, including: paying civil servants' salary arrears; instituting strict measures to effectively address corruption; ensuring transparency in the management of public funds; and improving its communication with the public.",他们普遍同意，应鼓励利比里亚全国过渡政府采取措施处理民众的抱怨，包括支付拖欠公务员的薪金；制定严格措施有效对付腐败；确保公共资金管理的透明度；并改善与公众的交流。
What accounts for that conspiracy?,这种约定的理由是什么？
"Report of the Secretary-General on the implementation of the regulations governing the status, basic rights and duties of officials other than Secretariat officials and experts on missions",秘书长的报告：关于非秘书处官员和特派专家的地位、基本权利和义务的条例的执行情况
Marcos Matías Alonso (Mexico),Marcos Matías Alonso(墨西哥)
"Trans-disciplinary theme: Who we are. Central idea: We look different, but our hearts are connected.",中心思想：虽然我们各有不同，但心心相印。
"In an effort to increase the sharing of the outcome of the work of the functional commissions, the Chairperson of the Commission on the Status of Women transmitted its agreed conclusions on relevant topics to the Chairperson of the Commission on Sustainable Development acting as the preparatory committee for the World Summit on Sustainable Development and of the Commission for Social Development acting as the preparatory committee for the Second World Assembly on Ageing.",为了增强职司委员会工作成果的交流，妇女地位委员会主席向担任可持续发展问题世界首脑会议筹备委员会的可持续发展委员会主席和担任老龄问题世界大会筹备委员会的社会发展委员会的主席转送了妇女地位委员会对有关问题的商定结论。
Hang on.ma. I gotta call 911.,等下，妈，我打911。
He began to perspire heavily.,他开始大量出汗。
"The Unit ensures that local aviation standards and international standards on equipment and facilities are adhered to in all missions and provides support for airport master planning, airfield repair programming and the management of air and ground support services in order to meet the field missions' airfield and air terminal requirements.",该股确保各特派团遵守关于设备和设施的当地空运标准和国际标准，并对航空站总规划、机场维修方案拟定以及空中和地面支助服务管理给予协助，以满足外地特派团的机场和航空站需求。
"5.20 The use of outside expertise to supplement the work of the Department will not be necessary during the biennium. Accordingly, the previous appropriation of $97,400 could be surrendered.","5.20 此两年期内无须聘用外来专家辅助该部的工作,从而可以交还先前所拨的97 400美元的经费。"
China 2004,中国.
They claim many advantages for a nearly introuduced article.,他们声称推广的商品有很多优点。
The Committee adopted draft resolution A/C.2/64/L.66.,委员会通过决议草案A/C.2/64/L.66。
A third factor is the quality of available labor.,第三个因素是可利用劳力的素质.
"All these are indispensable elements in establishing democratic and peaceful societies, and, in particular, safer societies.",这一切都是建立民主和平社会、特别是建立更安全社会不可或缺的因素。
Soli Jehangir Sorabjee (India),Soli Jehangir Sorabjee (印度)
The Centre for Gender Equality provides directions and seminars for employers on how to draw up an equality plan.,两性平等中心就如何草拟平等计划向雇主提供指导并举办了讨论会。
"NAM also believes that the issue of proliferation should be resolved through political and diplomatic means and that measures and initiatives in this regard should be taken within the framework of international law, relevant multilateral conventions and the United Nations Charter.",不结盟运动还认为，不扩散问题应通过政治和外交手段加以解决，同时认为，应在国际法、相关多边公约和《联合国宪章》的框架内，采取这方面的措施和举措。
"It was indicated that the states and regions would have their own executive and legislative bodies in the ""envisaged new structure"".","文件表明，在""设想的新的结构""中，各邦和各省拥有本身的行政和立法机构。"
"He said that an in-depth study had been performed on the impact of funding for existing HPMP stage I agreements on the decrease of consumption in selected future years (funding for nonLVCs and LVCs), but the task force was not able to give any quantitative results.",他提到对在选定的未来年份中（对非低消费量国家和低消费量国家供资）现有淘汰氢氟氯化碳管理计划第一阶段协定的供资对消费量减少的影响，已经进行了一项深入的研究，但工作队不能提供任何数量结果。
The stakeholders listed below have contributed information for this summary. The full texts of all original submissions are available at: www.ohchr.org.,The stakeholders listed below have contributed information for this summary. The full texts of all original submissions are available at: www.ohchr.org.
"It circled over Riyaq, Baalbek and Hirmil before leaving at 1220 hours over Naqurah.",飞机在Riyaq、Baalbek和Hirmil上空盘旋，然后于12时20分从Naqurah上空飞离。
"Mr. BRASACK (Germany): Thank you very much, Mr. President, for the indulgence of allowing me the floor for a second time in this CD session.",布拉萨克先生(德国)：非常感谢主席先生，宽厚地允许我在本届裁谈会上第二次发言。
IDB.3/24,IDB.3/24
"In Indonesia, for example, the terms of reference for the head of field office/team leader in one sub-office mentioned as a required skill ""programme experience, particularly in the shelter rebuilding area"".","例如在印度尼西亚，某个分区办公室的外地办事处/小组领导人的职责范围要求具有以下技能：""方案经验，特别是重建住所方面的经验""。"
"3. Urges the transitional authorities of Mali to expeditiously put in place a credible framework for negotiations with all parties in the north of Mali who have cut off all ties to terrorist organizations, notably AQIM and associated groups including MUJWA, and who recognize, without conditions, the unity and territorial integrity of the Malian State, and with a view to addressing the long-standing concerns of communities in the north of Mali, and requests the Secretary-General, through his Special Representative for West Africa, in coordination with the ECOWAS Mediator and the High Representative of the African Union for Mali and the Sahel, and the OIC, to take appropriate steps to assist the transitional authorities of Mali to enhance their mediation capacity and to facilitate and strengthen such a dialogue;",3. 敦促马里过渡当局迅速建立一个可信的框架，与马里北部所有同恐怖组织，特别是伊斯兰马格里布基地组织及包括西非统一和圣战运动在内的相关团体断绝一切关系并无条件承认马里国家的统一和领土完整的各方进行谈判，以消除马里北部社区的长期关切，请秘书长通过负责西非问题特别代表，协同西非经共体调解人和非洲联盟马里和萨赫勒问题高级代表及伊斯兰会议组织，采取适当步骤，协助马里过渡当局提高其调解能力，促进和加强这一对话；
"12.40 During the biennium 2010-2011, projected extrabudgetary resources of $9,083,700 would be used, inter alia, for: (a) research and policy analysis on foreign direct investment issues for the publications, brochures and materials of the subprogramme, such as the World Investment Reports and least developed countries investment guides; (b) advisory services and training courses, inter alia, to support investment policies, treaties and facilitation, to strengthen the capacity of Governments of least developed countries and countries with economies in transition to enhance foreign direct investment and utilize it to support national development goals and to assist in the area of corporate transparency and accounting, foreign direct investment statistics, international investment agreements and the transfer of and access to technology and intellectual property; (c) field projects related to UNCTAD capacity-building programmes to promote the development of small and medium-sized enterprises, such as Empretec; and (d) to improve corporate responsibility and governance.",12.40 在2010-2011两年期，预计预算外资源9 083 700美元将特别用于：(a) 外国直接投资问题研究和政策分析出版物、小册子和次级方案材料，如《世界投资报告》和最不发达国家投资指南； (b) 咨询服务和培训课程，特别是支助投资政策、条约和便利化，以加强最不发达国家和经济转型国家政府的能力，以增加外国直接投资，并利用外国直接投资支持国家发展目标，并在公司透明度和会计、外国直接投资统计、国际投资协定以及转让和开放技术和知识产权等方面提供协助；(c) 与贸发会议能力建设方案相关的外地项目，以促进中小型企业的发展，如经营技术方案；(d) 增进企业责任和治理。
"Asustek also unveiled a new, thinner version of its flagship Eee PC netbook this week that starts at less than $200.",华硕本周也发布了新一代旗舰EeePC上网本，机身更薄，起价不到200美元。
OBJECTIVE To compare the fingerprints of Paris polyphylla Smith var. yunnanensis of different growing years and explore its optimal harvesting year.,目的比较不同生长年限滇重楼的高效液相色谱指纹图谱，探索滇重楼的最适宜采收年限。
"Our hope is that partnerships will be formed within our civil societies to develop projects, programs, policies and legislation of best practices which will specifically focus on the girl child's full participation in her community.",我们的希望是，应当在我们的民间社会中建立合作伙伴关系，制定项目、方案、政策和最佳做法法律，尤其侧重女童全面参与社区。
Identify those experts whose activities and interests are no longer relevant to DLDD;,确认其活动和利益不再与荒漠化、土地退化和干旱问题相关的专家；
"The present report on the financial status and activities of the Fund includes information on the participation of beneficiaries of grants from the Fund in the twenty-sixth session of the Working Group, held in Geneva from 11 to 15 June 2001, and on the consideration by the Working Group of its relevant agenda item on the Fund.",本报告论述了基金的财政状况和活动情况，所载资料涉及基金会赠款的受益人参加于2001年6月11日至15日在日内瓦举行的工作组第二十六届会议的有关情况。
Increased the level and the damage for certain high level elemental damage affixes.,增加等级、伤害和某些高等级元素伤害的附加属性.
"Continue with the social investment focusing on the most vulnerable sectors of the population, particularly the elderly, women, children and other groups in situation of vulnerability (Dominican Republic);",135.9 继续进行社会投资，着重于人口中最为脆弱的部分，特别是老年人、妇女、儿童及处于脆弱状况下的其他群体(多米尼加共和国)；
"The election of Mr. LI Yong, with his dynamism and drive, would further strengthen UNIDO.",当选的李勇先生将以他的活力和推动力进一步增强工发组织的实力。
Denmark,丹麦
"In two cases where this problem arose, the Trial Chambers ordered that the witnesses be removed from the witness list and the trial proceeded without their testimony.",在出现这个问题的两个案子中，审判分庭命令把这些证人的名字从证人名单上取消，审判在没有他们做证的情况下进行。
The jailer came in the evening.,” “千万别抛弃我，即使请你到我这儿来，要不就让我到你那儿去。
"That would be followed by a comprehensive evaluation of the mechanisms available to implement assistance programmes, including mobile training teams.",然后就是全面评价执行援助方案的可资利用的机制，包括流动培训组。
5) Building confidence and security in the use of ICTs,5) 树立使用信息通信技术的信心并提高安全性
Concerted action by States was required to overcome obstacles to achievement of the Millennium Development Goals.,要求各国采取一致行动，克服障碍，从而实现千年发展目标。
The new theory of the universe was ripped to pieces by many of the world's leading astronomers.,这种新的宇宙起源理论被世界上许多著名天文学家批得体无完肤。
B At least the sky is clear and blue.,B 至少天空是晴朗、蔚蓝的。
" Today, most of our countries have embarked on the process of democratization - with varied results, admittedly - but the desire to fit into the new order was the underlying reason for all."," 今天 , 我们 大多数 国家 都 已 踏上 民主 道路 - - 应该 承认 , 其 结果 不尽 相同 - - 但 适应 新 秩序 的 愿望 却是 所有 这 一切 的 根本 原因 。"
It is anticipated that with the introduction of the forthcoming new talent management system some of these technological challenges will be overcome.,预计随着新的人才管理制度的引进，以上某些技术方面的问题会得到克服。
"7. At 1400 hours an armed terrorist group held up passers-by on the international highway in the district of Nabk, assaulting and robbing them.",7. 14时零分，一个武装恐怖团伙劫持了在Nabk区国际公路上的行人，殴打并抢夺行人物品。
"Only five countries - Kazakhstan, Libya, Mauritania, Papua New Guinea and Saudi Arabia - had yet to ratify some of the amendments.",只有五个国家尚未批准某些修正，分别是哈萨克斯坦、利比亚、毛里塔尼亚、巴布亚新几内亚和沙特阿拉伯。
Two walls of the children's playground -- if you could call it that -- consisted of neatly packed human corpses.,儿童游乐场 -- -- 如果各位可以如此称呼的话 -- -- 的两堵墙是由整齐堆放的尸首构成的。
"In response to a request from the Assistant Secretary-General, Programme Planning, Budget and Accounts, Controller of the United Nations, in June 2000, the Office of Internal Oversight Services (OIOS) conducted an investigation into possible fee-splitting arrangements between defence counsel and indigent detainees at the International Criminal Tribunal for Rwanda and the International Tribunal for the Former Yugoslavia.",应主管方案规划、预算和帐务助理秘书长兼联合国主计长2000年6月提出的要求，内部监督事务厅(监督厅)对在卢旺达问题国际刑事法庭（卢旺达问题国际法庭）和前南斯拉夫问题国际法庭（前南问题国际法庭）可能有辩护律师同贫穷的被羁押人作出分享费用安排一事进行了调查。
"Of these, 86 per cent, or 212 million (152 to 287 million) cases, were in the Africa region.",86％的病例，即2.12亿例（1.52亿至2.87亿例）病例在非洲区域。
9. UNICEF efforts in helping to provide care and protection for children and women in unstable situations is derived from the principles of the Convention on the Rights of the Child and other international legal standards.,9. 儿童基金会依据《儿童权利公约》的原则及其他国际法律准则开展为处于不稳定局势中的儿童和妇女提供照顾和保护的工作。
This summer’s 50th anniversary of the International Atomic Energy Agency’s (IAEA) founding offers an opportunity for stocktaking about the world’s most important nuclear watchdog.,今年夏天国际原子能机构成立50周年给人们提供机会来检讨这一世界上最为重要的核子监督组织。
Article 41(15) report,第41条报告(15)
"(a) The eighth preambular paragraph, which had read:",( a ) 序言 部分 第 八段 原文 :
The Project is expected to provide unique opportunities for students and researchers to observe natural phenomena under simulated microgravity conditions on the ground and to inspire them to undertake further study in the fields of space science and space technology.,预计该项目将为学生和研究人员提供独特的机会，在地面模拟微重力条件下观察自然现象，并启发他们进一步开展空间科学和空间技术领域的研究。
"doctor, tree, tiger: team, crowd, audienceflour, sugar, honey clothing, machinery peace, advice, French many, few, a number of, a large quantity of A large number of schools are now equipped with computers.",（2）表示不定量的限定词可以修饰可数名词和不可数名词事表示不定量概念，其中可以修饰可数名词的不定量限定词有：等；如：很多学校都配备了计算机。
"Furthermore, in its resolution 1987/50 of 11 March 1987, the Commission on Human Rights, inter alia, reiterated its previous calls for the full restoration of all human rights to the population of Cyprus, in particular to the refugees; called for the tracing of and accounting for missing persons in Cyprus without any further delay; called for the restoration and respect of the human rights and fundamental freedoms of all Cypriots, including freedom of movement, the freedom of settlement and the right to property; and requested the Secretary-General to provide the Commission, at its forty-fourth session, with information relevant to the implementation of resolution 1987/50.",3. 此外，人权委员会在其1987年3月11日第1987/50号决议中，除其他外，特别重申了以往发出的关于充分恢复塞浦路斯人民特别是难民的各项人权的呼吁；呼吁立即寻找塞浦路斯失踪人员的下落并对其情况作出说明，不得再有任何拖延；呼吁恢复并尊重全体塞浦路斯人的人权和基本自由，包括迁徙自由、定居自由和财产所有权；请秘书长向人权委员会第四十四届会议提供有关第1987/50号决议执行情况的资料。
"We have strengthened our institutions and developed partnerships with technical and financial partners such as the World Health Organization, the International Diabetes Federation and the World Diabetes Foundation.",我们加强了卫生保健机构，并与诸如世界卫生组织、国际糖尿病联合会、世界糖尿病基金会等技术和金融合作伙伴建立了合作关系。
"Certainly, there are people whom I love.",世界上的确还有几个我所爱的人。
A. Enterprise resource planning,A. 企业资源规划
"Committee on Information, twenty-ninth session [General Assembly resolution 33/115 C]","新闻委员会,第二十九届会议[大会第33/115 C号决议]"
"The refurbishment programme, which is being funded by the United States of America and Norway, is continuing.",由美利坚合众国和挪威出资的翻修方案正在进行之中。
"In addition, external candidates who have been recruited are not deleted from the roster.",此外，已聘用的外部候选人也没有从名册中删除。
"For instance, UN Radio has covered the issue of terrorism in its “UN News Brief” and “News Magazine” as well as in its 15— and 30—minute series “L'Afrique à l'ONU”, “World in Review” and “UN in Action”.","例如，联合国电台的""联合国简讯""和""新闻杂志""以及15分钟和30分钟的广播系列""非洲在联合国""、""世界回顾""和""联合国在行动""等都报道过恐怖主义问题。"
1 November 1992,1992年11月1日
"Delegations are kindly requested to contact the Secretariat, in writing, by e-mail (Ms. Antonina Poliakova (poliakova@un.org)).",请各代表团通过电子邮件以书面形式与秘书处联系(Antonina Poliakova女士(poliakova@un.org))。
